log_id,source,model,pred_label,attack_type,proba_attack
60,network,1d_cnn,benign,BENIGN,0.0
61,network,1d_cnn,attack,DoS Hulk,1.0
62,network,1d_cnn,attack,DoS Hulk,1.0
63,network,1d_cnn,benign,BENIGN,0.0
64,network,1d_cnn,benign,BENIGN,0.0
65,network,1d_cnn,benign,BENIGN,0.0
66,network,1d_cnn,attack,DoS Hulk,1.0
67,network,1d_cnn,benign,BENIGN,0.0
68,network,1d_cnn,attack,DDoS,1.0
69,network,1d_cnn,benign,BENIGN,0.0
70,network,1d_cnn,benign,BENIGN,0.0
71,network,1d_cnn,attack,PortScan,1.0
72,network,1d_cnn,benign,BENIGN,0.0
73,network,1d_cnn,benign,BENIGN,0.0
74,network,1d_cnn,attack,PortScan,1.0
75,network,1d_cnn,attack,PortScan,1.0
76,network,1d_cnn,attack,DDoS,1.0
77,network,1d_cnn,benign,BENIGN,0.0
78,network,1d_cnn,benign,BENIGN,0.0
79,network,1d_cnn,benign,BENIGN,0.0
80,network,1d_cnn,attack,DoS slowloris,1.0
81,network,1d_cnn,benign,BENIGN,0.0
82,network,1d_cnn,benign,BENIGN,0.0
83,network,1d_cnn,attack,SSH-Patator,1.0
84,network,1d_cnn,benign,BENIGN,0.0
85,network,1d_cnn,attack,DDoS,1.0
86,network,1d_cnn,attack,DoS Hulk,1.0
87,network,1d_cnn,benign,BENIGN,0.0
88,network,1d_cnn,benign,BENIGN,0.0
89,network,1d_cnn,attack,DoS Hulk,1.0
90,network,1d_cnn,attack,DDoS,1.0
91,network,1d_cnn,attack,DDoS,1.0
92,network,1d_cnn,attack,DoS Hulk,1.0
93,network,1d_cnn,attack,DoS Hulk,1.0
94,network,1d_cnn,benign,BENIGN,0.0
95,network,1d_cnn,attack,DDoS,1.0
96,network,1d_cnn,benign,BENIGN,0.0
97,network,1d_cnn,benign,BENIGN,0.0
98,network,1d_cnn,benign,BENIGN,0.0
99,network,1d_cnn,benign,BENIGN,0.0
100,network,1d_cnn,attack,PortScan,1.0
101,network,1d_cnn,attack,DDoS,1.0
102,network,1d_cnn,benign,BENIGN,0.0
103,network,1d_cnn,attack,DDoS,1.0
104,network,1d_cnn,benign,BENIGN,0.0
105,network,1d_cnn,benign,BENIGN,0.0
106,network,1d_cnn,attack,DDoS,1.0
107,network,1d_cnn,attack,PortScan,1.0
108,network,1d_cnn,benign,BENIGN,0.0
109,network,1d_cnn,attack,DDoS,1.0
110,network,1d_cnn,attack,DDoS,1.0
111,network,1d_cnn,attack,DoS Hulk,1.0
112,network,1d_cnn,attack,PortScan,1.0
113,network,1d_cnn,benign,BENIGN,0.0
114,network,1d_cnn,attack,DoS Hulk,1.0
115,network,1d_cnn,attack,DDoS,1.0
116,network,1d_cnn,benign,BENIGN,0.0
117,network,1d_cnn,benign,BENIGN,0.0
118,network,1d_cnn,attack,DDoS,1.0
119,network,1d_cnn,benign,BENIGN,0.0
120,network,1d_cnn,benign,BENIGN,0.0
121,network,1d_cnn,attack,DoS Hulk,1.0
122,network,1d_cnn,attack,DDoS,1.0
123,network,1d_cnn,attack,DDoS,1.0
124,network,1d_cnn,benign,BENIGN,0.0
125,network,1d_cnn,attack,DDoS,1.0
126,network,1d_cnn,attack,DDoS,1.0
127,network,1d_cnn,benign,BENIGN,0.0
128,network,1d_cnn,attack,Bot,1.0
129,network,1d_cnn,benign,BENIGN,0.0
130,network,1d_cnn,benign,BENIGN,0.0
131,network,1d_cnn,attack,DoS Hulk,1.0
132,network,1d_cnn,attack,DDoS,1.0
133,network,1d_cnn,benign,BENIGN,0.0
134,network,1d_cnn,attack,DDoS,1.0
135,network,1d_cnn,attack,PortScan,1.0
136,network,1d_cnn,attack,DoS Hulk,1.0
137,network,1d_cnn,attack,DDoS,1.0
138,network,1d_cnn,attack,SSH-Patator,1.0
139,network,1d_cnn,attack,DDoS,1.0
140,network,1d_cnn,benign,BENIGN,0.0
141,network,1d_cnn,attack,DDoS,1.0
142,network,1d_cnn,benign,BENIGN,0.0
143,network,1d_cnn,benign,BENIGN,0.0
144,network,1d_cnn,benign,BENIGN,0.0
145,network,1d_cnn,benign,BENIGN,0.0
146,network,1d_cnn,benign,BENIGN,0.0
147,network,1d_cnn,benign,BENIGN,0.0
148,network,1d_cnn,attack,PortScan,1.0
149,network,1d_cnn,attack,DoS Hulk,1.0
150,network,1d_cnn,benign,BENIGN,0.0
151,network,1d_cnn,attack,DoS Hulk,1.0
152,network,1d_cnn,benign,BENIGN,0.0
153,network,1d_cnn,attack,PortScan,1.0
154,network,1d_cnn,attack,DoS Hulk,1.0
155,network,1d_cnn,attack,DDoS,1.0
156,network,1d_cnn,benign,BENIGN,0.0
157,network,1d_cnn,benign,BENIGN,0.0
158,network,1d_cnn,attack,DDoS,1.0
159,network,1d_cnn,attack,DoS Hulk,1.0
160,network,1d_cnn,benign,BENIGN,0.0
161,network,1d_cnn,attack,DoS GoldenEye,1.0
162,network,1d_cnn,attack,PortScan,1.0
163,network,1d_cnn,attack,PortScan,1.0
164,network,1d_cnn,benign,BENIGN,0.0
165,network,1d_cnn,attack,PortScan,1.0
166,network,1d_cnn,benign,BENIGN,0.0
167,network,1d_cnn,attack,DDoS,1.0
168,network,1d_cnn,benign,BENIGN,0.0
169,network,1d_cnn,benign,BENIGN,0.0
170,network,1d_cnn,benign,BENIGN,0.0
171,network,1d_cnn,attack,DDoS,1.0
172,network,1d_cnn,attack,DoS Hulk,1.0
173,network,1d_cnn,attack,DDoS,1.0
174,network,1d_cnn,attack,DDoS,1.0
175,network,1d_cnn,attack,SSH-Patator,1.0
176,network,1d_cnn,attack,DoS Hulk,1.0
177,network,1d_cnn,attack,PortScan,1.0
178,network,1d_cnn,attack,DoS Hulk,1.0
179,network,1d_cnn,benign,BENIGN,0.0
180,network,1d_cnn,attack,DDoS,1.0
181,network,1d_cnn,benign,BENIGN,0.0
182,network,1d_cnn,benign,BENIGN,0.0
183,network,1d_cnn,attack,DDoS,1.0
184,network,1d_cnn,benign,BENIGN,0.0
185,network,1d_cnn,attack,FTP-Patator,1.0
186,network,1d_cnn,benign,BENIGN,0.0
187,network,1d_cnn,benign,BENIGN,0.0
188,network,1d_cnn,attack,DDoS,1.0
189,network,1d_cnn,attack,DDoS,1.0
190,network,1d_cnn,attack,DoS Hulk,1.0
191,network,1d_cnn,attack,DDoS,1.0
192,network,1d_cnn,benign,BENIGN,0.0
193,network,1d_cnn,benign,BENIGN,0.0
194,network,1d_cnn,benign,BENIGN,0.0
195,network,1d_cnn,benign,BENIGN,0.0
196,network,1d_cnn,attack,DoS Hulk,1.0
197,network,1d_cnn,attack,DDoS,1.0
198,network,1d_cnn,benign,BENIGN,0.0
199,network,1d_cnn,attack,DoS Hulk,1.0
200,network,1d_cnn,attack,PortScan,1.0
201,network,1d_cnn,attack,DDoS,1.0
202,network,1d_cnn,benign,BENIGN,0.0
203,network,1d_cnn,benign,BENIGN,0.0
204,network,1d_cnn,attack,DDoS,1.0
205,network,1d_cnn,benign,BENIGN,0.0
206,network,1d_cnn,benign,BENIGN,0.0
207,network,1d_cnn,attack,DoS Hulk,1.0
208,network,1d_cnn,benign,BENIGN,0.0
209,network,1d_cnn,benign,BENIGN,0.0
210,network,1d_cnn,attack,DoS Hulk,1.0
211,network,1d_cnn,benign,BENIGN,0.0
212,network,1d_cnn,benign,BENIGN,0.0
213,network,1d_cnn,attack,DDoS,1.0
214,network,1d_cnn,benign,BENIGN,0.0
215,network,1d_cnn,attack,SSH-Patator,1.0
216,network,1d_cnn,attack,PortScan,1.0
217,network,1d_cnn,benign,BENIGN,0.0
218,network,1d_cnn,attack,DoS Hulk,1.0
219,network,1d_cnn,attack,DoS Hulk,1.0
220,network,1d_cnn,benign,BENIGN,0.0
221,network,1d_cnn,attack,DDoS,1.0
222,network,1d_cnn,benign,BENIGN,0.0
223,network,1d_cnn,benign,BENIGN,0.0
224,network,1d_cnn,attack,DoS Hulk,1.0
225,network,1d_cnn,benign,BENIGN,0.0
226,network,1d_cnn,attack,PortScan,1.0
227,network,1d_cnn,attack,DDoS,1.0
228,network,1d_cnn,benign,BENIGN,0.0
229,network,1d_cnn,attack,DDoS,1.0
230,network,1d_cnn,attack,PortScan,1.0
231,network,1d_cnn,benign,BENIGN,0.0
232,network,1d_cnn,benign,BENIGN,0.0
233,network,1d_cnn,attack,DDoS,1.0
234,network,1d_cnn,benign,BENIGN,0.0
235,network,1d_cnn,attack,DoS Hulk,1.0
236,network,1d_cnn,benign,BENIGN,0.0
237,network,1d_cnn,benign,BENIGN,0.0
238,network,1d_cnn,benign,BENIGN,0.0
239,network,1d_cnn,benign,BENIGN,0.0
240,network,1d_cnn,benign,BENIGN,0.0
241,network,1d_cnn,benign,BENIGN,0.0
242,network,1d_cnn,attack,DDoS,1.0
243,network,1d_cnn,attack,DoS Hulk,1.0
244,network,1d_cnn,attack,SSH-Patator,1.0
245,network,1d_cnn,benign,BENIGN,0.0
246,network,1d_cnn,attack,PortScan,1.0
247,network,1d_cnn,attack,DoS Hulk,1.0
248,network,1d_cnn,benign,BENIGN,0.0
249,network,1d_cnn,benign,BENIGN,0.0
250,network,1d_cnn,attack,DDoS,1.0
251,network,1d_cnn,attack,DoS Hulk,1.0
252,network,1d_cnn,benign,BENIGN,0.0
253,network,1d_cnn,benign,BENIGN,0.0
254,network,1d_cnn,attack,DDoS,1.0
255,network,1d_cnn,attack,DDoS,1.0
256,network,1d_cnn,attack,DDoS,1.0
257,network,1d_cnn,benign,BENIGN,0.0
258,network,1d_cnn,attack,DoS Hulk,1.0
259,network,1d_cnn,benign,BENIGN,0.0
260,network,1d_cnn,attack,DDoS,1.0
261,network,1d_cnn,benign,BENIGN,0.0
262,network,1d_cnn,attack,DoS Hulk,1.0
263,network,1d_cnn,benign,BENIGN,0.0
264,network,1d_cnn,attack,DDoS,1.0
265,network,1d_cnn,attack,PortScan,1.0
266,network,1d_cnn,benign,BENIGN,0.0
267,network,1d_cnn,attack,DoS slowloris,1.0
268,network,1d_cnn,attack,DDoS,1.0
269,network,1d_cnn,attack,DoS Hulk,1.0
270,network,1d_cnn,attack,DDoS,1.0
271,network,1d_cnn,attack,DoS Hulk,1.0
272,network,1d_cnn,benign,BENIGN,0.0
273,network,1d_cnn,attack,DDoS,1.0
274,network,1d_cnn,attack,PortScan,1.0
275,network,1d_cnn,benign,BENIGN,0.0
276,network,1d_cnn,attack,DDoS,1.0
277,network,1d_cnn,attack,PortScan,1.0
278,network,1d_cnn,attack,DDoS,1.0
279,network,1d_cnn,attack,DDoS,1.0
280,network,1d_cnn,attack,DDoS,1.0
281,network,1d_cnn,attack,PortScan,1.0
282,network,1d_cnn,attack,DDoS,1.0
283,network,1d_cnn,benign,BENIGN,0.0
284,network,1d_cnn,benign,BENIGN,0.0
285,network,1d_cnn,attack,DoS Hulk,1.0
286,network,1d_cnn,attack,DDoS,1.0
287,network,1d_cnn,benign,BENIGN,0.0
288,network,1d_cnn,attack,DDoS,1.0
289,network,1d_cnn,attack,DDoS,1.0
290,network,1d_cnn,attack,PortScan,1.0
291,network,1d_cnn,benign,BENIGN,0.0
292,network,1d_cnn,benign,BENIGN,0.0
293,network,1d_cnn,attack,PortScan,1.0
294,network,1d_cnn,attack,DDoS,1.0
295,network,1d_cnn,attack,PortScan,1.0
296,network,1d_cnn,attack,DDoS,1.0
297,network,1d_cnn,benign,BENIGN,0.0
298,network,1d_cnn,benign,BENIGN,0.0
299,network,1d_cnn,benign,BENIGN,0.0
300,network,1d_cnn,attack,PortScan,1.0
301,network,1d_cnn,benign,BENIGN,0.0
302,network,1d_cnn,benign,BENIGN,0.0
303,network,1d_cnn,attack,DoS Hulk,1.0
304,network,1d_cnn,attack,DDoS,1.0
305,network,1d_cnn,benign,BENIGN,0.0
306,network,1d_cnn,attack,PortScan,1.0
307,network,1d_cnn,benign,BENIGN,0.0
308,network,1d_cnn,attack,DDoS,1.0
309,network,1d_cnn,attack,DDoS,1.0
310,network,1d_cnn,benign,BENIGN,0.0
311,network,1d_cnn,benign,BENIGN,0.0
312,network,1d_cnn,attack,PortScan,1.0
313,network,1d_cnn,benign,BENIGN,0.0
314,network,1d_cnn,benign,BENIGN,0.0
315,network,1d_cnn,benign,BENIGN,0.0
316,network,1d_cnn,attack,PortScan,1.0
317,network,1d_cnn,benign,BENIGN,0.0
318,network,1d_cnn,benign,BENIGN,0.0
319,network,1d_cnn,benign,BENIGN,0.0
320,network,1d_cnn,benign,BENIGN,0.0
321,network,1d_cnn,attack,DoS GoldenEye,1.0
322,network,1d_cnn,attack,FTP-Patator,1.0
323,network,1d_cnn,attack,DDoS,1.0
324,network,1d_cnn,attack,FTP-Patator,1.0
325,network,1d_cnn,benign,BENIGN,0.0
326,network,1d_cnn,benign,BENIGN,0.0
327,network,1d_cnn,attack,DDoS,1.0
328,network,1d_cnn,attack,DDoS,1.0
329,network,1d_cnn,attack,DDoS,1.0
330,network,1d_cnn,benign,BENIGN,0.0
331,network,1d_cnn,attack,FTP-Patator,1.0
332,network,1d_cnn,benign,BENIGN,0.0
333,network,1d_cnn,attack,PortScan,1.0
334,network,1d_cnn,benign,BENIGN,0.0
335,network,1d_cnn,benign,BENIGN,0.0
336,network,1d_cnn,benign,BENIGN,0.0
337,network,1d_cnn,attack,DoS Slowhttptest,1.0
338,network,1d_cnn,benign,BENIGN,0.0
339,network,1d_cnn,attack,DDoS,1.0
340,network,1d_cnn,benign,BENIGN,0.0
341,network,1d_cnn,benign,BENIGN,0.0
342,network,1d_cnn,attack,DoS Hulk,1.0
343,network,1d_cnn,attack,DDoS,1.0
344,network,1d_cnn,attack,DDoS,1.0
345,network,1d_cnn,attack,DoS Hulk,1.0
346,network,1d_cnn,attack,PortScan,1.0
347,network,1d_cnn,attack,DDoS,1.0
348,network,1d_cnn,attack,DoS Hulk,1.0
349,network,1d_cnn,attack,DDoS,1.0
350,network,1d_cnn,benign,BENIGN,0.0
351,network,1d_cnn,attack,DDoS,1.0
352,network,1d_cnn,attack,DoS GoldenEye,1.0
353,network,1d_cnn,attack,DDoS,1.0
354,network,1d_cnn,attack,DoS Hulk,1.0
355,network,1d_cnn,benign,BENIGN,0.0
356,network,1d_cnn,attack,DoS Hulk,1.0
357,network,1d_cnn,benign,BENIGN,0.0
358,network,1d_cnn,attack,DDoS,1.0
359,network,1d_cnn,attack,DDoS,1.0
360,network,1d_cnn,attack,PortScan,1.0
361,network,1d_cnn,benign,BENIGN,0.0
362,network,1d_cnn,attack,DoS Hulk,1.0
363,network,1d_cnn,attack,PortScan,1.0
364,network,1d_cnn,benign,BENIGN,0.0
365,network,1d_cnn,attack,DDoS,1.0
366,network,1d_cnn,attack,DDoS,1.0
367,network,1d_cnn,attack,DDoS,1.0
368,network,1d_cnn,attack,Bot,1.0
369,network,1d_cnn,attack,DDoS,1.0
370,network,1d_cnn,attack,DDoS,1.0
371,network,1d_cnn,benign,BENIGN,0.0
372,network,1d_cnn,attack,DoS Hulk,1.0
373,network,1d_cnn,attack,PortScan,1.0
374,network,1d_cnn,benign,BENIGN,0.0
375,network,1d_cnn,benign,BENIGN,0.0
376,network,1d_cnn,benign,BENIGN,0.0
377,network,1d_cnn,attack,DDoS,1.0
378,network,1d_cnn,attack,PortScan,1.0
379,network,1d_cnn,benign,BENIGN,0.0
380,network,1d_cnn,attack,DDoS,1.0
381,network,1d_cnn,benign,BENIGN,0.0
382,network,1d_cnn,benign,BENIGN,0.0
383,network,1d_cnn,benign,BENIGN,0.0
384,network,1d_cnn,attack,DoS Hulk,1.0
385,network,1d_cnn,benign,BENIGN,0.0
386,network,1d_cnn,attack,DDoS,1.0
387,network,1d_cnn,attack,PortScan,1.0
388,network,1d_cnn,attack,DDoS,1.0
389,network,1d_cnn,attack,FTP-Patator,1.0
390,network,1d_cnn,attack,PortScan,1.0
391,network,1d_cnn,attack,DoS Hulk,1.0
392,network,1d_cnn,attack,DDoS,1.0
393,network,1d_cnn,benign,BENIGN,0.0
394,network,1d_cnn,attack,DoS Hulk,1.0
395,network,1d_cnn,benign,BENIGN,0.0
396,network,1d_cnn,attack,DoS Hulk,1.0
397,network,1d_cnn,attack,DoS Hulk,1.0
398,network,1d_cnn,benign,BENIGN,0.0
399,network,1d_cnn,benign,BENIGN,0.0
400,network,1d_cnn,benign,BENIGN,0.0
401,network,1d_cnn,attack,DDoS,1.0
402,network,1d_cnn,attack,DoS Hulk,1.0
403,network,1d_cnn,benign,BENIGN,0.0
404,network,1d_cnn,attack,SSH-Patator,1.0
405,network,1d_cnn,attack,PortScan,1.0
406,network,1d_cnn,attack,DDoS,1.0
407,network,1d_cnn,attack,DDoS,1.0
408,network,1d_cnn,attack,DDoS,1.0
409,network,1d_cnn,benign,BENIGN,0.0
410,network,1d_cnn,attack,DDoS,1.0
411,network,1d_cnn,benign,BENIGN,0.0
412,network,1d_cnn,benign,BENIGN,0.0
413,network,1d_cnn,attack,DoS Hulk,1.0
414,network,1d_cnn,benign,BENIGN,0.0
415,network,1d_cnn,attack,DoS slowloris,1.0
416,network,1d_cnn,attack,DoS Hulk,1.0
417,network,1d_cnn,attack,PortScan,1.0
418,network,1d_cnn,attack,PortScan,1.0
419,network,1d_cnn,attack,DoS Hulk,1.0
420,network,1d_cnn,attack,DoS Hulk,1.0
421,network,1d_cnn,attack,PortScan,1.0
422,network,1d_cnn,benign,BENIGN,0.0
423,network,1d_cnn,benign,BENIGN,0.0
424,network,1d_cnn,attack,PortScan,1.0
425,network,1d_cnn,attack,DoS Hulk,1.0
426,network,1d_cnn,attack,DDoS,1.0
427,network,1d_cnn,attack,DDoS,1.0
428,network,1d_cnn,attack,DDoS,1.0
429,network,1d_cnn,benign,BENIGN,0.0
430,network,1d_cnn,attack,DDoS,1.0
431,network,1d_cnn,benign,BENIGN,0.0
432,network,1d_cnn,benign,BENIGN,0.0
433,network,1d_cnn,attack,DDoS,1.0
434,network,1d_cnn,benign,BENIGN,0.0
435,network,1d_cnn,attack,DDoS,1.0
436,network,1d_cnn,attack,DoS Hulk,1.0
437,network,1d_cnn,attack,DoS Hulk,1.0
438,network,1d_cnn,benign,BENIGN,0.0
439,network,1d_cnn,attack,PortScan,1.0
440,network,1d_cnn,attack,DoS Hulk,1.0
441,network,1d_cnn,benign,BENIGN,0.0
442,network,1d_cnn,attack,DoS GoldenEye,1.0
443,network,1d_cnn,benign,BENIGN,0.0
444,network,1d_cnn,attack,DoS Hulk,1.0
445,network,1d_cnn,benign,BENIGN,0.0
446,network,1d_cnn,attack,DoS Hulk,1.0
447,network,1d_cnn,attack,DoS Hulk,1.0
448,network,1d_cnn,attack,DoS Hulk,1.0
449,network,1d_cnn,benign,BENIGN,0.0
450,network,1d_cnn,attack,DDoS,1.0
451,network,1d_cnn,attack,PortScan,1.0
452,network,1d_cnn,attack,PortScan,1.0
453,network,1d_cnn,attack,PortScan,1.0
454,network,1d_cnn,benign,BENIGN,0.0
455,network,1d_cnn,attack,DDoS,1.0
456,network,1d_cnn,attack,DDoS,1.0
457,network,1d_cnn,benign,BENIGN,0.0
458,network,1d_cnn,benign,BENIGN,0.0
459,network,1d_cnn,attack,DDoS,1.0
460,network,1d_cnn,attack,DDoS,1.0
461,network,1d_cnn,benign,BENIGN,0.0
462,network,1d_cnn,benign,BENIGN,0.0
463,network,1d_cnn,attack,DoS slowloris,1.0
464,network,1d_cnn,benign,BENIGN,0.0
465,network,1d_cnn,attack,PortScan,1.0
466,network,1d_cnn,benign,BENIGN,0.0
467,network,1d_cnn,attack,DDoS,1.0
468,network,1d_cnn,benign,BENIGN,0.0
469,network,1d_cnn,attack,DDoS,1.0
470,network,1d_cnn,attack,PortScan,1.0
471,network,1d_cnn,benign,BENIGN,0.0
472,network,1d_cnn,attack,DoS GoldenEye,1.0
473,network,1d_cnn,attack,DoS Hulk,1.0
474,network,1d_cnn,attack,DoS Hulk,1.0
475,network,1d_cnn,attack,DDoS,1.0
476,network,1d_cnn,attack,DDoS,1.0
477,network,1d_cnn,benign,BENIGN,0.0
478,network,1d_cnn,benign,BENIGN,0.0
479,network,1d_cnn,attack,DDoS,1.0
480,network,1d_cnn,attack,Bot,1.0
481,network,1d_cnn,attack,DDoS,1.0
482,network,1d_cnn,attack,DoS Hulk,1.0
483,network,1d_cnn,benign,BENIGN,0.0
484,network,1d_cnn,attack,DoS Hulk,1.0
485,network,1d_cnn,attack,PortScan,1.0
486,network,1d_cnn,attack,FTP-Patator,1.0
487,network,1d_cnn,attack,PortScan,1.0
488,network,1d_cnn,attack,DoS slowloris,1.0
489,network,1d_cnn,attack,DoS Hulk,1.0
490,network,1d_cnn,benign,BENIGN,0.0
491,network,1d_cnn,benign,BENIGN,0.0
492,network,1d_cnn,benign,BENIGN,0.0
493,network,1d_cnn,benign,BENIGN,0.0
494,network,1d_cnn,attack,DDoS,1.0
495,network,1d_cnn,benign,BENIGN,0.0
496,network,1d_cnn,attack,DoS Hulk,1.0
497,network,1d_cnn,attack,DDoS,1.0
498,network,1d_cnn,attack,DDoS,1.0
499,network,1d_cnn,attack,DoS Hulk,1.0
500,network,1d_cnn,benign,BENIGN,0.0
501,network,1d_cnn,attack,PortScan,1.0
502,network,1d_cnn,attack,DoS Hulk,1.0
503,network,1d_cnn,attack,DDoS,1.0
504,network,1d_cnn,attack,PortScan,1.0
505,network,1d_cnn,benign,BENIGN,0.0
506,network,1d_cnn,benign,BENIGN,0.0
507,network,1d_cnn,attack,DDoS,1.0
508,network,1d_cnn,attack,PortScan,1.0
509,network,1d_cnn,benign,BENIGN,0.0
510,network,1d_cnn,benign,BENIGN,0.0
511,network,1d_cnn,benign,BENIGN,0.0
512,network,1d_cnn,attack,PortScan,1.0
513,network,1d_cnn,benign,BENIGN,0.0
514,network,1d_cnn,attack,DoS Hulk,1.0
515,network,1d_cnn,attack,PortScan,1.0
516,network,1d_cnn,benign,BENIGN,0.0
517,network,1d_cnn,attack,DDoS,1.0
518,network,1d_cnn,attack,DDoS,1.0
519,network,1d_cnn,benign,BENIGN,0.0
520,network,1d_cnn,benign,BENIGN,0.0
521,network,1d_cnn,benign,BENIGN,0.0
522,network,1d_cnn,benign,BENIGN,0.0
523,network,1d_cnn,attack,DoS Hulk,1.0
524,network,1d_cnn,attack,DDoS,1.0
525,network,1d_cnn,attack,DDoS,1.0
526,network,1d_cnn,benign,BENIGN,0.0
527,network,1d_cnn,benign,BENIGN,0.0
528,network,1d_cnn,benign,BENIGN,0.0
529,network,1d_cnn,attack,DoS GoldenEye,1.0
530,network,1d_cnn,benign,BENIGN,0.0
531,network,1d_cnn,attack,DoS Hulk,1.0
532,network,1d_cnn,attack,PortScan,1.0
533,network,1d_cnn,benign,BENIGN,0.0
534,network,1d_cnn,benign,BENIGN,0.0
535,network,1d_cnn,benign,BENIGN,0.0
536,network,1d_cnn,benign,BENIGN,0.0
537,network,1d_cnn,attack,PortScan,1.0
538,network,1d_cnn,attack,PortScan,1.0
539,network,1d_cnn,attack,DoS Hulk,1.0
540,network,1d_cnn,attack,PortScan,1.0
541,network,1d_cnn,benign,BENIGN,0.0
542,network,1d_cnn,benign,BENIGN,0.0
543,network,1d_cnn,benign,BENIGN,0.0
544,network,1d_cnn,attack,DDoS,1.0
545,network,1d_cnn,attack,Web Attack � Brute Force,1.0
546,network,1d_cnn,attack,DDoS,1.0
547,network,1d_cnn,benign,BENIGN,0.0
548,network,1d_cnn,attack,PortScan,1.0
549,network,1d_cnn,attack,PortScan,1.0
550,network,1d_cnn,benign,BENIGN,0.0
551,network,1d_cnn,benign,BENIGN,0.0
552,network,1d_cnn,attack,PortScan,1.0
553,network,1d_cnn,benign,BENIGN,0.0
554,network,1d_cnn,attack,DDoS,1.0
555,network,1d_cnn,attack,DDoS,1.0
556,network,1d_cnn,attack,DDoS,1.0
557,network,1d_cnn,attack,DoS Hulk,1.0
558,network,1d_cnn,attack,DDoS,1.0
559,network,1d_cnn,benign,BENIGN,0.0
560,network,1d_cnn,attack,PortScan,1.0
561,network,1d_cnn,benign,BENIGN,0.0
562,network,1d_cnn,attack,DDoS,1.0
563,network,1d_cnn,benign,BENIGN,0.0
564,network,1d_cnn,attack,DoS Hulk,1.0
565,network,1d_cnn,attack,DDoS,1.0
566,network,1d_cnn,attack,DDoS,1.0
567,network,1d_cnn,benign,BENIGN,0.0
568,network,1d_cnn,attack,DDoS,1.0
569,network,1d_cnn,attack,DDoS,1.0
570,network,1d_cnn,attack,DDoS,1.0
571,network,1d_cnn,benign,BENIGN,0.0
572,network,1d_cnn,benign,BENIGN,0.0
573,network,1d_cnn,attack,PortScan,1.0
574,network,1d_cnn,benign,BENIGN,0.0
575,network,1d_cnn,benign,BENIGN,0.0
576,network,1d_cnn,benign,BENIGN,0.0
577,network,1d_cnn,attack,DDoS,1.0
578,network,1d_cnn,benign,BENIGN,0.0
579,network,1d_cnn,attack,PortScan,1.0
